#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 02 12 51 999 99.0 99.0  1.67 11.11  7.85 343 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 02 13 21 999 99.0 99.0  1.72 10.53  8.10 338 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 02 13 51 999 99.0 99.0  1.58  8.33  7.52 328 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 14 21 999 99.0 99.0  1.64  7.69  7.78 339 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 14 51 999 99.0 99.0  1.51 10.53  7.85 348 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 15 21 999 99.0 99.0  1.52  7.69  7.78 338 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 15 51 999 99.0 99.0  1.62  7.69  7.74 338 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 16 21 999 99.0 99.0  1.61 10.53  7.88 340 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 16 51 999 99.0 99.0  1.65 10.53  7.91 353 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 17 21 999 99.0 99.0  1.61  9.88  7.93 348 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 17 51 999 99.0 99.0  1.58  8.33  7.51 339 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 18 21 999 99.0 99.0  1.57  9.88  7.62 335 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 18 51 999 99.0 99.0  1.70  9.88  7.83 349 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 19 21 999 99.0 99.0  1.57 10.53  7.56   4 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 19 51 999 99.0 99.0  1.62 10.53  7.78 359 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 20 21 999 99.0 99.0  1.57  9.88  7.69 359 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 02 20 51 999 99.0 99.0  1.56  9.88  8.19 352 9999.0 999.0  24.7 999.0 99.0 99.00
2010 01 02 21 21 999 99.0 99.0  1.59 10.53  8.13 350 9999.0 999.0  24.8 999.0 99.0 99.00
